cq	persona
Under which titles is this song known? (multi-language)	William
What are the relations between the relevant countries, compositions, composers and performers in the various collections?	William
How have the relations between the relevant countries, compositions, composers and performers in the various collections changed over time?	William
How many search results are there per time period?	William
How many search results are there per genre?	William
What is the relevant metadata for music collections and what do the different fields mean?	William
Inspect the degree to which metadata fields have been filled across the collections, see trends and gaps?	William
CQ1. What is the difference between the ‘official’ perception of the role of music and how music is experienced?; ; *	Ortenz
CQ1.1 What are the aspects that characterize an official source? E.g. context of production, creator’s role, relation between the source and political or national events; *	Ortenz
CQ1.2 What are the official sources? What are the sources produced by ordinary people?; *	Ortenz
CQ1.3 What are the aspects that characterize the source at hand as trustworthy? E.g. context of production, creator’s occupation; *	Ortenz
CQ1.4 What are the goals of the source?; *	Ortenz
CQ1.5 What is the emotional response of music listeners/authors in both types of sources?	Ortenz
CQ2. How is music used to teach children about identity and heritage?; ; *	Ortenz
CQ2.1 In which source there is evidence of children as target audience and music as subject? ; *	Ortenz
CQ2.2 What are the subjects of the source? ; *	Ortenz
CQ2.3 What are the subjects that are related to national identity?; *	Ortenz
CQ2.4 What are the subjects that are related to national heritage?; *	Ortenz
CQ2.5 When was the source produced?; *	Ortenz
CQ2.6 Where was the source produced?; *	Ortenz
CQ2.7 Who produced the source?; *	Ortenz
CQ2.8 What type of source is it? E.g. Literary text, painting; *	Ortenz
CQ2.9 What is the context of production of the source? E.g. academic, official source, personal or primary source, commission to an artist; *	Ortenz
CQ2.10 Are there related events connected to the production of the source? E.g. national fests, war period, political or historical events; *	Ortenz
CQ2.11 What is context of usage of the source? E.g. propaganda, personal account, review of an event, teaching; *	Ortenz
CQ2.12 How subjects/goals/contexts of usage change over time?	Ortenz
CQ3. What is the adult perception of the role of music in children’s education?; ; *	Ortenz
CQ3.1 What is the goal of the official sources?; *	Ortenz
CQ3.2 To what extent are music subjects relevant (among the others) in official sources targeted to children?	Ortenz
What places did muciain Z visited in her career?; ; * Where did she perform?; * Where did she live?	Ortenz
Did musician X and performer Y ever met? Where, when, and why?	Ortenz
In what context the meeting happend? ; ; * What is the nature of the event? ; * Was it a celebration, a festival, a private event?; * Was it a religious or a secolar event?; * Who paid to support the event?	Ortenz
What is the provenance of the event attendees? What and how they happened to be there?; ; * Did they travel to reach the place?; * Where they invited? Was the meeting accidental?	Ortenz
How can we characterize the relation among the participants?	Ortenz
Is a composer known for composition X?	Mark
What is the name of the composer specified in the source of this composition?	Mark
What is the similarity between compositions X and Y given similarity measure Z?	Mark
Which tunes are similar to tune X given similarity measure Y?	Mark
Who (which source) attributed composition X to composer Y?	Mark
Which are all known concordances (same composition/tune in another source)?	Mark
Which concordances of composition X have a composer name associated?	Mark
What is the geographic origin of source X?	Mark
Who were the owners of (manuscript) source X?	Mark
Who was/were the scribe(s) of (manuscript) source X?	Mark
What was the repertoire of scribe X (i.e. all compostions written down by X)?	Mark
Who was the publisher of (printed) source X?	Mark
What is publication year of printed source X?	Mark
Which are all compositions that are in source X?	Mark
What is current location of source X?	Mark
Where to find a digital scan of source X (url)?	Mark
What is the title of composition X in source Y?	Mark
What is the tune indication of composition X in source Y?	Mark
On what page (or folio) is composition X in source Y?	Mark
What is the serial number of composition X in source Y?	Mark
What printed source shares content with manuscript X?	Mark
What is the language of the lyrics of tune X?	Mark
Has composition X been identified as variant in a tune family?	Mark
Which tune family does composition X belong to?	Mark
Who assigned composition X to tune family Y?	Mark
With what level of confidence is composition X a variant in tune family Y?	Mark
What are all compositions in tune family X?	Mark
What are the similarities / differences of all compositions in tune family X according to measure Y?	Mark
To what tune families is tune family X related, given similarity measure Y?	Mark
What are alternative titles for composition X?	Mark
What are the differences / similarities between two corpora of compositions concerning features Y1..Yn?	Mark
What are longitudinal differences / similarities within a corpus concerning features Y1..Yn?	Mark
What are the differences / similarities between two corpora of compositions concerning occurrences of patterns?	Mark
What are longitudinal differences / similarities within a corpus concerning occurrences of patterns?	Mark
What patterns do the compositions in corpus X share?	Mark
What patterns are overrepresented in corpus X compared to corpus Y?; ; ## Resources; ; Mark works with:; ; RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music; ; NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation ; ; ABC notation database http://abcnotation.com/ ; ; Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc; ; Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm; ; Mark’s work could be helped by:; ; Connection to other databases, so that he could automatically query a range of databases; ; ## Remarks; ; Requirements for UI:; - visualize changes in musical style over time, e.g. transition from modal to tonal (evolution curves - see Weiss et al. 2018 ‘Investigating style evolution of Western classical music: A computational approach’) - with zooming; - visualize interconnections, e.g. of tunes which share melodic patterns or geographical origin.; - vizualize the circulation of certain repertoires (e.g. Italian opera).; ; Previous set of CQs. These are quite abstract, but not yet all covered by the set of CQs in the section above.	Mark
Can we identify a tune (e.g. from an oral tradition) in our collection with music in another documented collection, e.g. RISM, NEUMA, ABC	Mark
Can we trace the origin of a melody (composer)?	Mark
Can we compare music from different collections, e.g. from different countries to show connections/influences between musical styles?	Mark
Can we compare music longitudinally, e.g. to see evolution of tonality and transition from modal to tonal? Working either at manuscript of collection level.	Mark
Can we visualize changes in musical style over time, e.g. transition from modal to tonal (evolution curves - see Weiss et al. 2018 ‘Investigating style evolution of Western classical music: A computational approach’) - with zooming	Mark
Can we visualize interconnections, e.g. of tunes which share melodic patterns or geographical origin?	Mark
Can we link repertoires by scribes?	Mark
Do 'national' repertoires have specific characteristics in terms of frequent patterns?	Mark
How does translation (of lyrics) affect variation in the melody?	Mark
Which aspects of melody vary and which remain stable in the process of transmission and adaptation?	Mark
How did certain repertoires (e.g., Italian opera) circulate?	Mark
What are the connections between printed sources and manuscripts? (manuscripts could be copies of printed sources	Mark
CQ1. What was the composer’s network (patrons, institutions …)?; ; * What is the “intellectual framework” of a musician? which explains why certain music was played and how it was played; * What is the time relationship between different musicians, e.g. who was working at the same time?; * What relationships exist between institutions, e.g. employment of the same musicians; and between people and institutions, e.g. between a number of composers and a printer?	Sophia
CQ2. What relationships exist between different sources of information, e.g. payslips and accounts?	Sophia
CQ1. What parallels are there between the composition of music and the use of language, e.g. in the use of rhetorical delivery?; ; * What rhetorical strategies are used in a piece of music?	Sophia
CQ2. Why was a piece of music written to be evocative of something, e.g. the call of a cuckoo?; ; * What does music evoke?	Sophia
CQ3. What different motifs exist in a piece of music?	Sophia
CQ4. What relationships exist in a multi-line piece of music, i.e. over time and between the lines?	Sophia
CQ5. In early written music, what is left of the preceding unwritten tradition?; ; * What are the sources the musician used?; * What sources, musicians, traditions influenced the musician?	Sophia
CQ6. How does the corpus of a composer compare with that of other composers, particularly those writing at the same time?; ; * What are the similarities? motifs, harmony, texts	Sophia
CQ7. Can we use a statistical comparison, or a particular ‘thumbprint’ in the music, to identify the composer of a piece of music?	Sophia
CQ8. When a musical structure, e.g. a motif, is found in two composers, is one copied from the other, or do they come out of a previous tradition?	Sophia
What are the instruments that play the musical piece?	Sophia
In which group does the instrument belong to?	Sophia
In which family does the instrument belong to?	Sophia
Which is the timbre of the instrument?	Sophia
Which is the range of pitches available on the instrument?	Sophia
Which is the dynamic range of the instrument?	Sophia
Which is the notation convention of the instrument?	Sophia
With which genre is the instrument related to? (To be considered)	Sophia
In what genre of music the instrument was used?	Sophia
In what combinations of instruments the instrument was used?	Sophia
What are the differences between ancient and modern version of the same instrument?	Sophia
What is the connection between two musical pieces?; -	Sonia
Is a musical piece connected to another musical piece by historical event?; -	Sonia
Which feature is selected to create the shuffle?; -	Sonia
What are the types of features that are used to create shuffles?; -	Sonia
Which is the immediate previous/next musical piece?; -	Sonia
Is a musical piece connected to another musical piece by common people?	Sonia
What is the musical piece that the persona selects?; -	Sonia
With which image/textual information/multimedia/musical piece is the selected musical piece connected to inside/outside the playlist?; -	Sonia
Which is the melodic pattern of the musical piece?; -	Sonia
In which other musical pieces does the melodic pattern appear?; -	Sonia
Who is/are the composer(s)/musician(s) of the musical piece?; -	Sonia
What information is available for the composer(s)/musician(s)?; -	Sonia
When/Where was the musical piece recorded?; -	Sonia
Has another musical piece "the user likes" been recorded in the same venue?; -	Sonia
Are there excerpts of the lyrics available for a musical piece? If yes, which are they?; -	Sonia
Is the excerpt of the lyric featured in other musical pieces?; -	Sonia
Which is the source of the excerpt of the lyrics?; -	Sonia
Is there a person mentioned in the excerpt of the lyrics? If yes, what background information is available for him/her?	Sonia
Where is the building?; -	Keoma
When (what year) was the building built?; -	Keoma
In which context is the building located (urban, periurban...)? ; -	Keoma
Are there bells in a church?; -	Keoma
Which is the mounting system of the bell?; -	Keoma
Which is the material of the bell?; -	Keoma
By whom (by which foundry) were they cast?; -	Keoma
In which year were they cast?; -	Keoma
Which is the nominal/fundamental note of the bell?; -	Keoma
Which is the extension of the whole set of bells in a bell tower?; -	Keoma
Which is the weight of the bell?; -	Keoma
Which are the measures of the bell?; -	Keoma
What kind of execution techniques are possible to perform according to a specific mounting system?; -	Keoma
Can a set of bells be played electrically, manually, or both?; -	Keoma
How/Using which tools is the set of bells played, when played manually?; -	Keoma
Where is the church/bell tower?; -	Keoma
How many bells are in the church?; -	Keoma
Which is the mouth diameter of the bell?; -	Keoma
Which is the sound bow of the bell?; -	Keoma
Using which execution technique(s) is the set of bells played, when played manually?; ; **old**	Keoma
What kind of repertoire is traditionally performed in that specific location?	Keoma
What is the dating that accompanies this repertoire?	Keoma
Is it a repertoire performed in the contemporary world?	Keoma
Is it a repertoire in that place currently performed by hand or by electric means?	Keoma
How many people are generally employed for the performance of these sound practices?	Keoma
Are there significant variations in the frequencies between the manually produced sound and the electric sound, such as to have repercussions on the soundscape?	Keoma
Are there historical evidences of the presence of that sound in the surrounding area?	Keoma
What does the organ look like?	Frank
Which organs are built in a similar style?	Frank
What is the concert agenda for organ X?	Frank
Where to find audio/video resources featuring organ X?	Frank
Where to find audio/video resources featuring organist X?	Frank
What is the address of the owner/maintainer of organ X?	Frank
Search operations should be expressed on either raw-level features (eg melodic lines) or higher-level features (eg modes, cadences, triad patterns, etc.). The systm should retrieve efficiently all sources that match the search pattern, and identifiy pattern occurrences	Sethus
A subset can be hierarchically refined based on criteria independant from on another and independant from the initial search pattern. The user can navigate in this hierarchy and refine the search.	Sethus
At each step, the result set takes the form of a subcorpus organized according to rich relationships, and enriched with user annotations	Sethus
A result set can be stored (in intention, not in extension) as a Relevant Corpus, and its definition can be revised at any moment	Sethus
navigating through a Relevant Corpus is based on anotation and search patterns	Sethus
To which modes Vide homo has been assigned to in Tonalities? Leonhard, Bernhard, Harold, Siegfried, Frans and Alexander relate the motet to the tonus peregrinus. Robert, however, considers the work to be written in the mixolydian mode.	Sethus
Are the criteria on which these interpretations are based true in the score and, if so, to what extent? ; - What are the cadence points in the work? ; - What are the part’s ranges? Do they correspond to modal octaves? ; - What is the final of the bassus? ; - What is the last chord? ; - Are there any melodic patterns related to modality? ; - To what diatonic environment does the work belong to? ; - What are the part’s clefs and keys? ; - Are the theoretical models on which these criteria are based – for example the Zarlinian cadential scheme ^1-^3-^5 – in line with this work? ; - What is the tension between the expected theoretical criteria and their actual realisation in the work?	Sethus
Can one assume that the modal ambiguity evidenced by the analytical interpretations is intended? Harold sees, for example, the use of modes in Lagrime as a religious symbol. Alexander suggests that Tansillo's texts set to music by Lassus can be read as an examination of conscience, advocated by post-Tridentine spirituality. Can these hypotheses be substantiated on the basis of Polifonia's analytical and heritage knowledge? ; - Where does the work appear within the cycle? ; - What do we know about this cycle and its place in Lassus' output? ; - Which poetic text is set to music? ; - Has this poetic text been set to music before?	Sethus
Apart from Lasso’s possible exegetical intentions, what does this work tell us about the status of the modes at this moment in the history of composition? ; - Is the modal ambiguity observed here frequent in Lasso’s output? ; - Do other works come close, in terms of their inner properties, to what is observed here? ; - Is the ambiguity observed here specific to particular groups of works?	Sethus
To which modes Vide homo has been assigned to in Tonalities? Leonhard, Bernhard, Harold, Siegfried, Frans and Alexander relate the motet to the tonus peregrinus. Robert, however, considers the work to be written in the mixolydian mode.	Sethus
Are the criteria on which these interpretations are based true in the score and, if so, to what extent?	Sethus
What are the cadence points in the work?	Sethus
What are the part’s ranges? Do they correspond to modal octaves?	Sethus
What is the final of the bassus?	Sethus
What is the last chord?	Sethus
Are there any melodic patterns related to modality?	Sethus
To what diatonic environment does the work belong to?	Sethus
What are the part’s clefs and keys?	Sethus
Are the theoretical models on which these criteria are based – for example the Zarlinian cadential scheme ^1-^3-^5 – in line with this work?	Sethus
What is the tension between the expected theoretical criteria and their actual realisation in the work?; ; [Metadata section]	Sethus
To what corpus does this work belong?	Sethus
What is the name of the corpus?	Sethus
What is the pseudonyme of the composer for X?	Sethus
What is the birthdate of the composer?	Sethus
What is the date of death of the composer?	Sethus
To what genre does the composition belong?	Sethus
To what collection does of the composition belong?	Sethus
If this is the case, to what larger work does the composition belong?	Sethus
If this is the case, in what other work(s) is the compositions quoted?	Sethus
Does the composition contain any quotation from other composition(s)?	Sethus
What is the origin of the composition?	Sethus
If available online, what is the URL of the composition?	Sethus
In the case of a manuscript/printed source, where is it housed?	Sethus
Who is the scientific editor of the composition?	Sethus
If any, what is the license of the transcription?	Sethus
What is the year of publication of the music printed source?	Sethus
Where was the music printed source published?	Sethus
What is the editor of the music printed source?	Sethus
In what electronic format is the composition available?	Sethus
What is the license of the final reused/modified electronic format of the score?	Sethus
What was Wagner's first performance in Bologna? On what date?	Valeriana
What was Verdi's first performance in Bologna? On what date?	Valeriana
Who were the public figures who participated in event X (or Y)?	Valeriana
Who were the musicians who participated in event X (or Y)?	Valeriana
Who talked about event X (or Y)?	Valeriana
In which works is event X recounted/traced?	Valeriana
What were the critical reactions to event X (or Y)? Are them positives?	Valeriana
CQ1)what are the meanings of the word 'vocality' in Italian (x)?	Valeriana
CQ2)What are the meanings of the word 'vocality' in French (y)?	Valeriana
CQ3) What are the meanings of the word 'vocality' in German (z)?	Valeriana
CQ4) What are the meanings of the word 'vocality' in Spanish (h)?	Valeriana
CQ5)How do the words x and y change over time?	Valeriana
CQ6)What contexts are the word x, y, z, h related to?	Valeriana
CQ7) How do these contexts change over time?	Valeriana
What are geographically distinct features of organs from region X? (e.g., in what differ 17th century Southern German organs from 17th century Spanish organs?).	Amy
What music was being played?	David
Who was listening to the music?	David
How did the instruments used change over time?	David
What was source of money – e.g. for instruments?	David
Where were the musicians coming from?	David
Who were teaching the musicians?	David
Where were the places (in which they played)?	David
How were instruments sold?	David
What was the sales pitch?	David
How does the world of brass bands connect with that of elite music?	David
What did people ‘make of’, how did they react to, e.g. music?	David
Who was the author of a piece of music?; e.g. can we identify it by its incipit?	David
What was the country of origin of a piece of music?	David
What is the cause of a change, e.g. increasing number of concerts over time?	David
Who is the poet (librettist) associated with a text?	Ralph
What is the emotion represented by a portion of text (~140 categories)?	Ralph
How do libretto and music relate, e.g. in describing an emotion?	Ralph
How does the presentation (text and music) of a work, e.g. an operatic aria, change over time, and depending on the artist?	Ralph
How have the music and libretto been influenced by the historical, e.g. social, political and cultural, environment?	Ralph
How can one describe and classify a scenario?	Ralph
Where is the Bell Tower?	Patrizia
What kind of execution characterizes that bell tower?	Patrizia
Are there formalized collective actors who carry out sound practices?	Patrizia
Are there formalized transmission methods that characterize the acquisition of skills related to the bell practice?	Patrizia
Which age groups do the transmission practices involve?	Patrizia
Do transmission practices involve both men and women?	Patrizia
Do transmission practices include the organization of public events?	Patrizia
